Título,Director,País,Año estreno (Fecha),Año estreno (Número),Fecha adición,Calificación,Duración,Categoría Duración,Latitud Random,Longitud Random
10 jours en or,Nicolas Brossette,France,1/01/2012,2012,1/07/2017,TV-14,97,Entre 1 y 2 horas,-25.65568721,173.2393467
100 Years: One Woman's Fight for Justice,Melinda Janko,United States,1/01/2016,2016,20/03/2018,TV-14,75,Entre 1 y 2 horas,-81.16932712,-33.57845652
100% Halal,Jastis Arimba,Indonesia,1/01/2020,2020,7/01/2021,TV-14,101,Entre 1 y 2 horas,-34.79461568,164.8093527
1000 Rupee Note,Shrihari Sathe,India,1/01/2014,2014,1/12/2016,TV-14,89,Entre 1 y 2 horas,57.40860209,142.384223
12 ROUND GUN,Sam Upton,United States,1/01/2017,2017,14/03/2019,TV-MA,90,Entre 1 y 2 horas,38.54416698,-4.679935119
13 Cameras,Victor Zarcoff,United States,1/01/2015,2015,13/08/2016,NR,90,Entre 1 y 2 horas,14.91865277,25.13994216
13 Sins,Daniel Stamm,United States,1/01/2014,2014,13/01/2019,R,93,Entre 1 y 2 horas,2.974018236,69.69634887
13TH,Ava DuVernay,United States,1/01/2016,2016,7/10/2016,TV-MA,101,Entre 1 y 2 horas,19.06097739,78.89133817
14 Cameras,"Scott Hussion, Seth Fuller",United States,1/01/2018,2018,27/10/2018,TV-MA,89,Entre 1 y 2 horas,27.19205519,-103.1744382
14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",United States,1/01/2016,2016,1/02/2019,TV-MA,84,Entre 1 y 2 horas,-31.67462896,35.39621264
17 Again,Burr Steers,United States,1/01/2009,2009,1/01/2021,PG-13,102,Entre 1 y 2 horas,-70.51270536,134.8449482
18 Presents,Francesco Amato,Italy,1/01/2020,2020,8/05/2020,TV-MA,114,Entre 1 y 2 horas,30.72686171,2.767254412
1898: Our Last Men in the Philippines,Salvador Calvo,Spain,1/01/2016,2016,2/06/2017,R,130,Más 2 horas,14.81021176,-35.47884958
1BR,David Marmor,United States,1/01/2019,2019,23/08/2020,TV-MA,90,Entre 1 y 2 horas,-44.53465054,43.1855761
1st Summoning,Raymond Wood,United States,1/01/2018,2018,26/07/2019,TV-MA,94,Entre 1 y 2 horas,-28.75518758,-28.29542995
2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,1/01/2008,2008,1/06/2020,TV-MA,97,Entre 1 y 2 horas,44.32470929,39.17173405
2 States,Abhishek Varman,India,1/01/2014,2014,4/08/2018,TV-PG,143,Más 2 horas,-80.92284084,69.16078382
20 Feet From Stardom,Morgan Neville,United States,1/01/2013,2013,22/09/2018,PG-13,91,Entre 1 y 2 horas,-85.6532106,83.19347584
2036 Origin Unknown,Hasraf Dulull,United Kingdom,1/01/2018,2018,20/12/2018,TV-14,95,Entre 1 y 2 horas,-35.74599357,-155.4102024
20th Century Women,Mike Mills,United States,1/01/2016,2016,28/06/2019,R,119,Entre 1 y 2 horas,52.12856834,101.7190163
21 & Over,"Jon Lucas, Scott Moore",United States,1/01/2013,2013,16/04/2019,R,93,Entre 1 y 2 horas,-45.48287214,-60.24297143
2307: Winter's Dream,Joey Curtis,United States,1/01/2016,2016,1/03/2018,TV-MA,101,Entre 1 y 2 horas,-39.32743299,175.8245899
25 Kille,Simranjit Singh Hundal,India,1/01/2016,2016,1/10/2018,TV-14,140,Más 2 horas,-53.1604783,-159.5840374
26 Years,Geun-hyun Cho,South Korea,1/01/2012,2012,1/10/2017,TV-MA,135,Más 2 horas,-82.44054802,-134.7632214
"27, el club de los malditos",Nicanor Loreti,Argentina,1/01/2018,2018,1/05/2018,TV-MA,82,Entre 1 y 2 horas,-4.751336816,-106.2345811
27: Gone Too Soon,Simon Napier-Bell,United Kingdom,1/01/2017,2017,1/05/2018,TV-MA,70,Entre 1 y 2 horas,86.6082691,175.9606722
28 Days,Betty Thomas,United States,1/01/2000,2000,30/09/2020,PG-13,104,Entre 1 y 2 horas,-59.71835808,-104.1561866
3 Generations,Gaby Dellal,United States,1/01/2015,2015,28/08/2017,PG-13,92,Entre 1 y 2 horas,-9.742111419,-106.2346554
3 Heroines,Iman Brotoseno,Indonesia,1/01/2016,2016,5/01/2019,TV-PG,124,Más 2 horas,-32.9286858,122.4323928
3 Idiots,Rajkumar Hirani,India,1/01/2009,2009,1/08/2019,PG-13,164,Más 2 horas,25.56759546,52.74533255
3 Seconds Divorce,Shazia Javed,Canada,1/01/2018,2018,15/06/2019,TV-PG,53,Menos 1 hora,85.61922295,111.2582558
3 Türken & ein Baby,Sinan Akkuş,Germany,1/01/2015,2015,15/12/2016,TV-MA,93,Entre 1 y 2 horas,-40.26487127,21.55219319
30 Days of Luxury,Hani Hamdi,Egypt,1/01/2016,2016,18/04/2019,TV-14,91,Entre 1 y 2 horas,-88.31111342,168.7202082
30 Minutes or Less,Ruben Fleischer,United States,1/01/2011,2011,1/01/2021,R,83,Entre 1 y 2 horas,-19.08394702,26.92044235
365 Days,"Barbara Białowąs, Tomasz Mandes",Poland,1/01/2020,2020,7/06/2020,TV-MA,114,Entre 1 y 2 horas,22.78484258,159.7954679
37 Seconds,Hikari,Japan,1/01/2020,2020,31/01/2020,TV-MA,116,Entre 1 y 2 horas,-75.73621403,-162.3514425
40 Sticks,Victor Gatonye,Kenya,1/01/2019,2019,20/11/2020,TV-14,93,Entre 1 y 2 horas,24.01223117,24.63613369
42 Grams,Jack C. Newell,United States,1/01/2017,2017,1/02/2018,TV-MA,81,Entre 1 y 2 horas,-8.330219384,20.71541075
48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck",Canada,1/01/2017,2017,20/12/2017,TV-G,84,Entre 1 y 2 horas,61.69675619,129.6713546
4L,Gerardo Olivares,Spain,1/01/2019,2019,12/07/2019,TV-MA,105,Entre 1 y 2 horas,4.656942654,38.81619976
4th Man Out,Andrew Nackman,United States,1/01/2015,2015,5/05/2016,NR,86,Entre 1 y 2 horas,17.25411558,115.45749
4th Republic,Ishaya Bako,Nigeria,1/01/2019,2019,13/06/2020,TV-MA,120,Entre 1 y 2 horas,-55.93295385,165.0169859
5 Flights Up,Richard Loncraine,United States,1/01/2014,2014,17/03/2019,PG-13,92,Entre 1 y 2 horas,-75.98572022,-140.6463186
5 Star Christmas,Marco Risi,Italy,1/01/2018,2018,7/12/2018,TV-14,96,Entre 1 y 2 horas,16.19809649,130.8044235
5 to 7,Victor Levin,United States,1/01/2014,2014,16/03/2017,R,97,Entre 1 y 2 horas,-80.07678165,130.2579809
50 First Dates,Peter Segal,United States,1/01/2004,2004,1/12/2020,PG-13,99,Entre 1 y 2 horas,-45.68428513,19.52413457
50/50,Jonathan Levine,United States,1/01/2011,2011,1/06/2019,R,100,Entre 1 y 2 horas,88.97041093,-102.3407874
5CM,Rizal Mantovani,Indonesia,1/01/2012,2012,28/09/2018,TV-14,126,Más 2 horas,6.222467806,74.65840777
5Gang,Matei Dima,Romania,1/01/2019,2019,27/04/2020,TV-14,96,Entre 1 y 2 horas,53.84383846,81.304868
6 Balloons,Marja Lewis Ryan,United States,1/01/2018,2018,6/04/2018,TV-MA,75,Entre 1 y 2 horas,-35.12909228,-106.1813072
6 Underground,Michael Bay,United States,1/01/2019,2019,13/12/2019,R,129,Más 2 horas,57.02727491,164.6461532
6 Years,Hannah Fidell,United States,1/01/2015,2015,8/09/2015,TV-MA,80,Entre 1 y 2 horas,9.713677898,-47.42794889
6-5=2,Bharat Jain,India,1/01/2014,2014,1/11/2017,TV-MA,103,Entre 1 y 2 horas,-17.02756271,-30.68924675
68 Kill,Trent Haaga,United States,1/01/2017,2017,1/09/2019,R,96,Entre 1 y 2 horas,74.2726894,170.7594042
7 años,Roger Gual,Spain,1/01/2016,2016,27/10/2016,TV-MA,77,Entre 1 y 2 horas,-8.942729255,-75.78868239
7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi",Pakistan,1/01/2018,2018,15/05/2019,TV-PG,137,Más 2 horas,10.76785206,86.89971047
7 Khoon Maaf,Vishal Bhardwaj,India,1/01/2011,2011,2/08/2018,TV-MA,148,Más 2 horas,-20.94832549,37.18754707
90 ML,Anita Udeep,India,1/01/2019,2019,13/08/2019,TV-MA,123,Más 2 horas,-1.125535028,108.3333585
93 Days,Steve Gukas,Nigeria,1/01/2016,2016,5/03/2020,TV-PG,121,Más 2 horas,46.33464086,-34.40942355
A 2nd Chance,Clay Glen,Australia,1/01/2011,2011,1/07/2017,PG,95,Entre 1 y 2 horas,3.89071077,86.29290222
A Babysitter's Guide to Monster Hunting,Rachel Talalay,United States,1/01/2020,2020,15/10/2020,TV-PG,99,Entre 1 y 2 horas,-17.9629223,-148.135559
A Billion Colour Story,Padmakumar Narasimhamurthy,India,1/01/2016,2016,1/04/2018,TV-14,104,Entre 1 y 2 horas,-76.281358,32.07532247
A Boy Called Po,John Asher,United States,1/01/2016,2016,15/01/2018,PG,94,Entre 1 y 2 horas,77.82931653,-31.49995289
A California Christmas,Shaun Paul Piccinino,United States,1/01/2020,2020,14/12/2020,PG-13,107,Entre 1 y 2 horas,85.8312809,-105.4704323
A Champion Heart,David de Vos,United States,1/01/2018,2018,14/04/2020,G,90,Entre 1 y 2 horas,20.75112609,81.89571522
A Chaster Marriage,Umut Kirca,Turkey,1/01/2016,2016,2/10/2020,TV-14,94,Entre 1 y 2 horas,-0.6333194782,47.39227564
A Choo,"Kevin Ko, Peter Tsi",Taiwan,1/01/2020,2020,14/10/2020,TV-14,101,Entre 1 y 2 horas,-3.873131444,55.44473977
A Christmas Prince,Alex Zamm,United States,1/01/2017,2017,17/11/2017,TV-PG,92,Entre 1 y 2 horas,56.01932639,0.4552551531
A Christmas Prince: The Royal Baby,John Schultz,United States,1/01/2019,2019,5/12/2019,TV-PG,85,Entre 1 y 2 horas,22.36391512,-82.00169834
A Christmas Prince: The Royal Wedding,John Schultz,United States,1/01/2018,2018,30/11/2018,TV-PG,93,Entre 1 y 2 horas,61.66668539,39.6067697
A Cinderella Story: Christmas Wish,Michelle Johnston,United States,1/01/2019,2019,1/12/2019,PG,86,Entre 1 y 2 horas,71.75546717,74.76018506
A Dangerous Woman,Stephen Gyllenhaal,United States,1/01/1993,1993,1/04/2018,R,101,Entre 1 y 2 horas,-58.33823621,-108.4433171
A Fairly Odd Summer,Savage Steve Holland,United States,1/01/2014,2014,2/11/2019,TV-Y7,68,Entre 1 y 2 horas,-1.930756304,-105.6770159
A Fall from Grace,Tyler Perry,United States,1/01/2020,2020,17/01/2020,TV-MA,121,Más 2 horas,32.2422698,-170.7406054
A Family Reunion Christmas,Robbie Countryman,United States,1/01/2019,2019,9/12/2019,TV-PG,29,Menos 1 hora,61.78277173,89.24196153
A Flying Jatt,Remo D'Souza,India,1/01/2016,2016,15/11/2017,TV-14,142,Más 2 horas,-7.833377906,-0.9596831653
A Fortunate Man,Bille August,Denmark,1/01/2018,2018,20/04/2019,TV-MA,168,Más 2 horas,66.71938135,-29.82268033
A Futile and Stupid Gesture,David Wain,United States,1/01/2018,2018,26/01/2018,TV-MA,102,Entre 1 y 2 horas,-61.08767441,111.1872549
A Ghost Story,David Lowery,United States,1/01/2017,2017,7/01/2020,R,92,Entre 1 y 2 horas,-67.74735407,-172.243243
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,United States,1/01/2012,2012,15/07/2018,R,86,Entre 1 y 2 horas,6.801452754,108.8895671
A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo",United States,1/01/2020,2020,27/11/2020,TV-Y,22,Menos 1 hora,-31.7986146,-74.91764598
A Grand Night In: The Story of Aardman,Richard Mears,United Kingdom,1/01/2015,2015,1/11/2016,TV-PG,59,Menos 1 hora,-2.697933256,-171.8781729
A Gray State,Erik Nelson,United States,1/01/2017,2017,25/12/2017,TV-MA,93,Entre 1 y 2 horas,35.36375779,131.0179569
A Haunted House,Michael Tiddes,United States,1/01/2013,2013,21/02/2020,R,86,Entre 1 y 2 horas,-50.64372733,61.22623286
A Haunting at Silver Falls: The Return,Teo Konuralp,United States,1/01/2019,2019,17/09/2019,TV-14,80,Entre 1 y 2 horas,-16.01770948,44.45921317
A Heavy Heart,Thomas Stuber,Germany,1/01/2015,2015,15/02/2017,TV-MA,109,Entre 1 y 2 horas,-42.41849244,-166.9738466
A Holiday Engagement,Jim Fall,United States,1/01/2011,2011,4/11/2019,TV-G,92,Entre 1 y 2 horas,-8.75100914,127.7475644
A Home with A View,Herman Yau,Hong Kong,1/01/2019,2019,30/04/2019,TV-MA,92,Entre 1 y 2 horas,4.069529228,89.40309675
A Kind of Murder,Andy Goddard,United States,1/01/2016,2016,1/05/2017,R,96,Entre 1 y 2 horas,-16.47984868,8.90586495
A Leaf of Faith,Chris Bell,United States,1/01/2018,2018,27/08/2018,TV-MA,87,Entre 1 y 2 horas,-36.43171018,-80.88202723
A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,Argentina,1/01/2020,2020,20/03/2020,TV-14,93,Entre 1 y 2 horas,-19.20322224,-26.26445547
A Little Chaos,Alan Rickman,United Kingdom,1/01/2014,2014,17/04/2019,R,113,Entre 1 y 2 horas,58.18875416,40.60626159
A Love Song for Latasha,Sophia Nahli Allison,United States,1/01/2020,2020,21/09/2020,TV-PG,20,Menos 1 hora,-87.86773177,-33.06175512
A Love Story,Maryo J. De los Reyes,Philippines,1/01/2007,2007,14/03/2019,TV-14,117,Entre 1 y 2 horas,75.35762582,62.50176137
A Mighty Team,Thomas Sorriaux,France,1/01/2016,2016,15/10/2016,TV-MA,97,Entre 1 y 2 horas,18.16236602,-6.153439081
A Murder in the Park,"Christopher S. Rech, Brandon Kimber",United States,1/01/2014,2014,28/04/2017,PG-13,91,Entre 1 y 2 horas,-61.72414315,-28.65262808
A New York Christmas Wedding,Otoja Abit,United States,1/01/2020,2020,5/11/2020,TV-MA,90,Entre 1 y 2 horas,28.43163573,169.2341432
A Night at the Roxbury,John Fortenberry,United States,1/01/1998,1998,1/12/2019,PG-13,82,Entre 1 y 2 horas,11.19281848,-90.440513
A Noble Intention,Joram Lürsen,Netherlands,1/01/2015,2015,1/09/2016,TV-MA,111,Entre 1 y 2 horas,-60.55084074,-54.18673726
A Patch of Fog,Michael Lennox,United Kingdom,1/01/2015,2015,15/04/2017,TV-MA,92,Entre 1 y 2 horas,59.73043026,-135.9226363
A Perfect Ending,Nicole Conn,United States,1/01/2012,2012,1/01/2019,TV-MA,110,Entre 1 y 2 horas,47.58708698,-168.1678692
A Perfect Man,Kees Van Oostrum,United States,1/01/2013,2013,6/06/2019,R,94,Entre 1 y 2 horas,-10.53436408,109.7262191
A Princess for Christmas,Michael Damian,United States,1/01/2011,2011,28/08/2020,TV-PG,91,Entre 1 y 2 horas,-62.50272821,74.69432608
A Remarkable Tale,Marina Seresesky,Spain,1/01/2019,2019,1/11/2019,TV-MA,94,Entre 1 y 2 horas,-8.007519548,25.25508301
A Russell Peters Christmas,Henry Sarwer-Foner,Canada,1/01/2011,2011,1/11/2013,NR,44,Menos 1 hora,-9.567889371,-163.5978145
A Scandall,Ishaan Trivedi,India,1/01/2016,2016,15/10/2017,TV-MA,108,Entre 1 y 2 horas,-42.46335847,44.00332439
A Second Chance,Cathy Garcia-Molina,Philippines,1/01/2015,2015,27/02/2019,TV-MA,130,Más 2 horas,11.79839565,168.1643269
A Secret Love,Chris Bolan,United States,1/01/2020,2020,29/04/2020,TV-14,83,Entre 1 y 2 horas,55.49952704,-99.44454534
A Silent Voice,Naoko Yamada,Japan,1/01/2016,2016,5/06/2019,TV-14,130,Más 2 horas,-82.15800595,-172.3817537
A Single Man,Tom Ford,United States,1/01/2009,2009,11/11/2019,R,100,Entre 1 y 2 horas,40.49130922,-129.4612408
A Sort of Homecoming,Maria Burton,United States,1/01/2015,2015,1/08/2017,TV-PG,89,Entre 1 y 2 horas,-72.73670927,155.342012
A Stoning in Fulham County,Larry Elikann,United States,1/01/1988,1988,1/10/2011,TV-14,95,Entre 1 y 2 horas,10.71111386,-60.49627914
A StoryBots Christmas,"Evan Spiridellis, Jeff Gill",United States,1/01/2017,2017,1/12/2017,TV-Y,26,Menos 1 hora,-75.18172031,70.82758304
A Sun,Chung Mong-hong,Taiwan,1/01/2019,2019,24/01/2020,TV-MA,156,Más 2 horas,-70.00147831,-159.1698409
A Thin Line Between Love & Hate,Martin Lawrence,United States,1/01/1996,1996,1/12/2020,R,108,Entre 1 y 2 horas,5.900013574,-4.3479784
A Thousand Words,Brian Robbins,United States,1/01/2012,2012,1/07/2020,PG-13,92,Entre 1 y 2 horas,34.37715096,-40.32643104
A Trip to Jamaica,Robert O. Peters,Nigeria,1/01/2016,2016,13/12/2019,TV-MA,99,Entre 1 y 2 horas,-60.63580362,87.62537835
A truthful Mother,Ravishankar Venkateswaran,India,1/01/2020,2020,31/03/2020,TV-Y7,85,Entre 1 y 2 horas,41.11389156,173.5833778
A Very Murray Christmas,Sofia Coppola,United States,1/01/2015,2015,4/12/2015,TV-14,57,Menos 1 hora,11.41819829,-0.7451926854
A Very Special Love,Cathy Garcia-Molina,Philippines,1/01/2008,2008,12/11/2020,TV-G,107,Entre 1 y 2 horas,23.71474925,-40.31125074
A Walk to Remember,Adam Shankman,United States,1/01/2002,2002,1/07/2020,PG,102,Entre 1 y 2 horas,17.50423373,152.607389
A Wednesday,Neeraj Pandey,India,1/01/2008,2008,1/11/2018,TV-MA,103,Entre 1 y 2 horas,-86.82890434,87.98538211
A Week in Watts,Gregory Caruso,United States,1/01/2017,2017,19/02/2018,TV-14,91,Entre 1 y 2 horas,48.3566951,-173.1320972
A Whisker Away,"Junichi Sato, Tomotaka Shibayama",Japan,1/01/2020,2020,18/06/2020,TV-PG,104,Entre 1 y 2 horas,5.271506015,150.6191592
A Witches' Ball,Justin G. Dyck,Canada,1/01/2017,2017,1/10/2018,PG,91,Entre 1 y 2 horas,7.695528125,-108.5126503
A Wrinkle in Time,Ava DuVernay,United States,1/01/2018,2018,25/09/2018,PG,110,Entre 1 y 2 horas,-60.16983852,94.12719691
A.M.I.,Rusty Nixon,Canada,1/01/2019,2019,1/10/2020,TV-MA,77,Entre 1 y 2 horas,24.53883317,-5.658618657
A.X.L.,Oliver Daly,United States,1/01/2018,2018,20/03/2019,PG,99,Entre 1 y 2 horas,51.99148356,-43.035889
Aşk Tesadüfleri Sever,Ömer Faruk Sorak,Turkey,1/01/2011,2011,4/04/2018,TV-MA,122,Más 2 horas,55.39820767,148.9299907
Aadu 2,Midhun Manuel Thomas,India,1/01/2017,2017,15/05/2018,TV-MA,150,Más 2 horas,42.90248746,-44.46103771
Aagey Se Right,Indrajit Nattoji,India,1/01/2009,2009,1/11/2018,TV-14,117,Entre 1 y 2 horas,-1.508280797,-3.861055628
Aajcha Divas Majha,Chandrakant Kulkarni,India,1/01/2013,2013,1/01/2018,TV-PG,126,Más 2 horas,89.36338313,81.26684577
Aakhri Adaalat,Rajiv Mehra,India,1/01/1988,1988,1/09/2017,TV-14,148,Más 2 horas,-8.283425894,-46.13536796
Aalorukkam,V C Abhilash,India,1/01/2018,2018,15/11/2018,TV-PG,122,Más 2 horas,-25.25189585,157.2758794
Aamir,Raj Kumar Gupta,India,1/01/2008,2008,1/11/2018,TV-14,95,Entre 1 y 2 horas,-28.07709112,-38.08463785
Aapla Manus,Satish Rajwade,India,1/01/2018,2018,10/09/2020,TV-14,133,Más 2 horas,19.51872562,150.5062473
Aarakshan,Prakash Jha,India,1/01/2011,2011,31/12/2019,TV-14,164,Más 2 horas,58.79225544,-79.29186586
Aashayein,Nagesh Kukunoor,India,1/01/2010,2010,22/10/2017,TV-14,115,Entre 1 y 2 horas,44.84153215,-7.279625116
Aashik Awara,Umesh Mehra,India,1/01/1993,1993,1/06/2017,TV-14,154,Más 2 horas,51.42988939,-168.3299992
Aata Pita,Uttung Shelar,India,1/01/2010,2010,1/01/2018,TV-14,133,Más 2 horas,-29.23889686,167.7627903
Aaviri,Ravi Babu,India,1/01/2019,2019,31/12/2019,TV-14,110,Entre 1 y 2 horas,29.02524128,106.8403834
Abby Sen,Atanu Ghosh,India,1/01/2015,2015,1/05/2017,TV-PG,127,Más 2 horas,-2.471740237,-76.75781107
ABCD 2,Remo D'Souza,India,1/01/2015,2015,1/11/2018,TV-14,146,Más 2 horas,-46.67516662,-22.50474023
ABCD: Any Body Can Dance,Remo D'Souza,India,1/01/2013,2013,1/11/2018,TV-14,136,Más 2 horas,89.24587821,99.25791858
Abducted in Plain Sight,Skye Borgman,United States,1/01/2017,2017,15/01/2019,TV-14,90,Entre 1 y 2 horas,-4.781951242,-120.160621
"Abdullah, The Final Witness",Hashim Nadeem Khan,Pakistan,1/01/2016,2016,15/01/2019,TV-14,88,Entre 1 y 2 horas,40.04480458,-92.91505972
Abhinetri,A. L. Vijay,India,1/01/2016,2016,1/05/2018,TV-14,131,Más 2 horas,-79.21095439,53.72773466
Abominable Christmas,Chad Van De Keere,United States,1/01/2012,2012,18/02/2016,TV-Y7,44,Menos 1 hora,29.39297448,-85.28300085
About Time,Richard Curtis,United Kingdom,1/01/2013,2013,16/04/2019,R,123,Más 2 horas,4.382985726,-107.6030818
Abzurdah,Daniela Goggi,Argentina,1/01/2015,2015,25/08/2016,TV-MA,90,Entre 1 y 2 horas,32.55093171,137.324069
Acapulco La vida va,Alfonso Serrano Maturino,Mexico,1/01/2016,2016,3/06/2017,TV-MA,89,Entre 1 y 2 horas,-56.47130472,-57.65097546
Accident,Cheang Pou Soi,Hong Kong,1/01/2009,2009,1/12/2018,TV-MA,87,Entre 1 y 2 horas,-9.896358887,-131.8919419
Across Grace Alley,Ralph Macchio,United States,1/01/2013,2013,1/12/2016,TV-PG,24,Menos 1 hora,-40.77819244,-101.4997002
Across The Line,Julien Christian Lutz,Canada,1/01/2015,2015,1/04/2019,TV-MA,88,Entre 1 y 2 horas,-54.77647255,-86.53232281
Act of Valor,"Mike McCoy, Scott Waugh",United States,1/01/2012,2012,1/06/2020,R,110,Entre 1 y 2 horas,-23.31470347,-103.2277083
Action Replayy,Vipul Amrutlal Shah,India,1/01/2010,2010,11/05/2020,TV-PG,129,Más 2 horas,44.96545618,-3.840213185
Acts of Violence,Brett Donowho,Canada,1/01/2018,2018,1/08/2020,R,87,Entre 1 y 2 horas,-21.81822543,-48.6208941
Adú,Salvador Calvo,Spain,1/01/2020,2020,1/07/2020,TV-MA,120,Entre 1 y 2 horas,41.38732537,-82.75157623
Adam Devine: Best Time of Our Lives,Jay Karas,United States,1/01/2019,2019,18/06/2019,TV-MA,59,Menos 1 hora,-52.03845618,134.6894143
